22:19:27.828 INFO  [main                                ] 51 main - 
*****************************************
*    Welcome to Kuta Cluster Gateway    *
*****************************************
*       Bind Http To:0.0.0.0:8081       *
*****************************************

22:19:28.445 INFO  [KSF-akka.actor.default-dispatcher-4 ] 104 applyOrElse - Slf4jLogger started
22:32:21.402 INFO  [KSF-akka.actor.default-dispatcher-38] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
22:33:22.532 INFO  [KSF-akka.actor.default-dispatcher-40] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
22:34:23.565 INFO  [KSF-akka.actor.default-dispatcher-39] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
22:35:24.556 INFO  [KSF-akka.actor.default-dispatcher-38] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
22:36:25.489 INFO  [KSF-akka.actor.default-dispatcher-41] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
22:37:26.664 INFO  [KSF-akka.actor.default-dispatcher-40] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
22:38:27.654 INFO  [KSF-akka.actor.default-dispatcher-41] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
22:39:28.486 INFO  [KSF-akka.actor.default-dispatcher-38] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
22:40:29.339 INFO  [KSF-akka.actor.default-dispatcher-40] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
22:41:30.161 INFO  [KSF-akka.actor.default-dispatcher-39] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
